Drug Name,Uses,SideEffect
Botox,"botox injection is a prescription medicine that helps improve the appearance of facial wrinkles and treats some medical conditions by causing muscles to relax, as botox blocks nerve signals to the muscles. botox contains onabotulinumtoxina, one of the botulinum toxins from the class of medicines called neurotoxins, which temporarily paralyzes muscles.","get emergency medical help if you have signs of an allergic reaction to botox: hives, itching; wheezing, difficulty breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat. the botulinum toxin contained in botox can spread to other body areas beyond where it was injected. this has caused serious life-threatening side effects in some people receiving botulinum toxin injections, even for cosmetic purposes. call your doctor at once if you have any of these side effects (up to several hours or several weeks after an injection): unusual or severe muscle weakness (especially in a body area that was not injected with the medication); loss of bladder control; hoarse voice, trouble talking or swallowing; drooping eyelids or eyebrows; vision changes, eye pain, severely dry or irritated eyes (your eyes may also be more sensitive to light); chest pain or pressure, pain spreading to your jaw or shoulder, irregular heartbeats; pain or burning when you urinate, trouble emptying your bladder; sore throat, cough, chest tightness, shortness of breath; or eyelid swelling, crusting or drainage from your eyes, and problems with vision. common botox side effects may include: painful or difficult urination; headache, neck pain, back pain, pain in your arms or legs; cold symptoms such as stuffy nose, sneezing, and sore throat; trouble swallowing; fever, chills, body aches, and flu symptoms; increased sweating in areas other than the underarms; or bruising, bleeding, pain, redness, or swelling where the injection was given. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. botox side effects (more detail)"
Brilinta,brilinta prevents platelets in your blood from sticking together to form an unwanted blood clot that could block an artery.,"get emergency medical help if you have signs of an allergic reaction to brilinta: hives; difficult breathing; swelling of your face, lips, tongue, or throat. call your doctor at once if you have: chest pain;   fainting or dizzy spells;   nosebleeds, or any bleeding that will not stop;   shortness of breath even with mild exertion or while lying down;   easy bruising, unusual bleeding, purple or red spots under your skin;   red, pink, or brown urine;   black, bloody, or tarry stools; or   coughing up blood or vomit that looks like coffee grounds. common brilinta side effects may include: bleeding; or   shortness of breath. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. brilinta side effects (more detail)"
Bunavail,"bunavail buccal films contains a combination of buprenorphine and naloxone. buprenorphine is an opioid medication, sometimes called a narcotic. naloxone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse.","get emergency medical help if you have signs of an allergic reaction to bunavail: hives; difficult breathing; swelling of your face, lips, tongue, or throat. opioid medicine can slow or stop your breathing, and death may occur. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. call your doctor at once or seek emergency medical attention if you have: any problems with your teeth or gums;   weak or shallow breathing, breathing that stops during sleep;   a light-headed feeling, like you might pass out;   confusion, loss of coordination, extreme weakness;   blurred vision, slurred speech;   liver problems - upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);   high levels of serotonin in the body - agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea;   low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or   opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold, runny nose, watery eyes, diarrhea, muscle pain. serious breathing problems may be more likely in older adults and those who are debilitated or have wasting syndrome or chronic breathing disorders. common bunavail side effects may include: dizziness, drowsiness, blurred vision, feeling drunk, trouble concentrating;   withdrawal symptoms;   tongue pain, redness or numbness inside your mouth;   nausea, vomiting, constipation;   headache, back pain;   fast or pounding heartbeats, increased sweating; or   sleep problems (insomnia). this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. bunavail side effects (more detail)"
Buprenorphine,"buprenorphine is an opioid medication used to treat opioid use disorder (oud), acute pain, and chronic pain.","get emergency medical help if you have signs of an allergic reaction to buprenorphine: hives; difficult breathing; swelling of your face, lips, tongue, or throat. opioid medicine can slow or stop your breathing, and death may occur. a person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. call your doctor at once if you have: opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold, runny nose, watery eyes, diarrhea, muscle pain; noisy breathing, sighing, shallow breathing, breathing that stops during sleep; slow heartbeat or weak pulse; a light-headed feeling, like you might pass out; chest pain, trouble breathing; low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or liver problems - nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. common buprenorphine side effects may be more likely to occur, such as: constipation, nausea, vomiting; headache; increased sweating; sleep problems (insomnia); or pain anywhere in your body. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. buprenorphine side effects (more detail)"
Cephalexin,cephalexin is a cephalosporin (sef a low spor in) antibiotic. it works by fighting bacteria in your body.,"get emergency medical help if you have signs of an allergic reaction to cephalexin (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose);   unusual tiredness, feeling light-headed or short of breath;   easy bruising, unusual bleeding, purple or red spots under your skin;   a seizure;   pale skin, cold hands and feet;   yellowed skin, dark colored urine;   fever, weakness; or   pain in your side or lower back, painful urination. common cephalexin side effects may include: diarrhea;   nausea, vomiting;   indigestion, stomach pain; or   vaginal itching or discharge. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. cephalexin side effects (more detail)"
Ciprofloxacin,"ciprofloxacin is a fluoroquinolone (flor-o-kwin-o-lone) antibiotic, it is used to treat different types of bacterial infections. it is also used to treat people who have been exposed to anthrax or certain types of plague. ciprofloxacin extended-release is only approved for use in adults.","get emergency medical help if you have signs of an allergic reaction to ciprofloxacin (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). ciprofloxacin can cause serious side effects, including tendon problems, damage to your nerves (which may be permanent), serious mood or behavior changes (after just one dose), or low blood sugar (which can lead to coma). stop taking this medicine and call your doctor at once if you have: low blood sugar - headache, hunger, irritability, dizziness, nausea, fast heart rate, or feeling shaky;   nerve damage symptoms - numbness, tingling, burning pain in your hands, arms, legs, or feet:   serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or   signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). in rare cases, ciprofloxacin may cause damage to your aorta, the main blood artery of the body. this could lead to dangerous bleeding or death. get emergency medical help if you have severe and constant pain in your chest, stomach, or back. also, stop using this medicine and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody;   fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out);   any skin rash, no matter how mild;   muscle weakness, breathing problems;   little or no urination;   jaundice (yellowing of the skin or eyes); or   increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. common ciprofloxacin side effects may include: nausea, vomiting, diarrhea, stomach pain;   headache; or   abnormal liver function tests. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. ciprofloxacin side effects (more detail)"
Citalopram,citalopram is a prescription medicine used in adults to treat depression.,"get emergency medical help if you have signs of an allergic reaction to citalopram: hives, difficult breathing, swelling of your face, lips, tongue, or throat. tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. citalopram may cause serious side effects. call your doctor at once if you have: a light-headed feeling, like you might pass out;   blurred vision, eye pain or redness, seeing halos around lights;   fast or pounding heartbeats, pain or fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out);   a seizure;   unusual bleeding - nosebleeds, bleeding gums, abnormal vaginal bleeding, any bleeding that will not stop;   manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative;   severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors; or   low blood sodium - headache, confusion, problems with thinking or memory, weakness, feeling unsteady. seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. citalopram can affect growth in children. tell your doctor if your child is not growing at a normal rate while using this medicine. common citalopram side effects may include: sexual problems;   dizziness, drowsiness;   dry mouth, thirst, increased sweating or urination;   loss of appetite, nausea, diarrhea, constipation;   feeling anxious, agitated, or shaky;   feeling weak or tired, sleep problems (insomnia), yawning;   increased muscle movement;   nosebleed, heavy menstrual bleeding; or   cold symptoms such as stuffy nose, sneezing, sore throat. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. citalopram side effects (more detail)"
Clindamycin,clindamycin is an antibiotic that fights bacteria in the body.,"the most common clindamycin side effects include: nausea or vomiting   stomach (abdominal) pain   mild skin rash   vaginal itching or discharge. clindamycin may also cause a metallic taste in your mouth. talk to your healthcare provider about ways you can manage this. serious side effects and warnings clindamycin carries a boxed warning for clostridium difficile-associated diarrhea (cdad). clindamycin can cause diarrhea, which may range in severity from mild to fatal colitis. diarrhea associated with clindamycin use is sometimes caused by an overgrowth of dangerous clostridium difficile bacteria in the large intestine. seniors especially should be monitored for diarrhea. if you have diarrhea that is watery or bloody, stop using clindamycin and call your doctor. do not use anti-diarrhea medicine unless your doctor tells you to. seek urgent medical attention. get emergency medical help if you have any signs of an allergic reaction to clindamycin: (hives, difficulty breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). serious skin and other reactions can occur with clindamycin. seek medical treatment if you have symptoms of a drug reaction such as skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. this reaction may occur several weeks after starting clindamycin. call your healthcare provider at once if you have: any change in bowel habits (for example, you start going to the toilet very frequently or don't go at all)   severe stomach pain   diarrhea that is watery or bloody   little or no urination. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. clindamycin side effects (more detail)"
Clonazepam,clonazepam is a benzodiazepine (ben-zoe-dye-aze-eh-peen). it is thought that benzodiazepines work by enhancing the activity of certain neurotransmitters in the brain.,"get emergency medical help if you have signs of an allergic reaction to clonazepam: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. clonazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. call your doctor at once if you have: new or worsening seizures;   severe drowsiness;   weak or shallow breathing;   unusual changes in mood or behavior;   confusion, paranoia, nightmares, hallucinations;   thoughts of suicide or hurting yourself;   unusual or involuntary eye movements. drowsiness or dizziness may last longer in older adults. use caution to avoid falling or accidental injury. common clonazepam side effects may include: drowsiness, dizziness;   feeling tired or depressed;   memory problems; or   problems with walking or coordination. after you stop using clonazepam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. clonazepam side effects (more detail)"
Cyclobenzaprine,cyclobenzaprine is a muscle relaxant. it works by blocking nerve impulses (or pain sensations) that are sent to your brain. cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.,"get emergency medical help if you have signs of an allergic reaction to cyclobenzaprine: hives; difficult breathing; swelling of your face, lips, tongue, or throat. stop using this medicine and call your doctor at once if you have: fast or irregular heartbeats;   chest pain or pressure, pain spreading to your jaw or shoulder; or   sudden numbness or weakness (especially on one side of the body), slurred speech, balance problems. seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. serious side effects may be more likely in older adults. common cyclobenzaprine side effects may include: drowsiness, tiredness;   headache, dizziness;   dry mouth; or   upset stomach, nausea, constipation. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. cyclobenzaprine side effects (more detail)"
Cymbalta,cymbalta is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (ssnri). duloxetine affects chemicals in the brain that may be unbalanced in people with depression.,"get emergency medical help if you have signs of an allergic reaction to cymbalta (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. call your doctor at once if you have: pounding heartbeats or fluttering in your chest;   a light-headed feeling, like you might pass out;   easy bruising, unusual bleeding;   vision changes;   painful or difficult urination;   liver problems - right-sided upper stomach pain, itching, dark urine, jaundice (yellowing of the skin or eyes);   low blood sodium - headache, confusion, problems with thinking or memory, weakness, feeling unsteady; or   manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative. seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. common cymbalta side effects may include: drowsiness;   nausea, constipation, loss of appetite;   dry mouth; or   increased sweating. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. cymbalta side effects (more detail)"
